Время;мс;13045 Неисправность датчика цил. А6;Температура топлива;Температура масла;Температура выпускных газов А1;Температура выпускных газов А2;Температура выпускных газов А3;Температура выпускных газов А4;Температура выпускных газов А5;Температура выпускных газов А6;Температура выпускных газов А7;Температура выпускных газов А8;Температура выпускных газов В1;Температура выпускных газов В2;Температура выпускных газов В3;Температура выпускных газов В4;Температура выпускных газов В5;Температура выпускных газов В6;Температура выпускных газов В7;Температура выпускных газов В8
9:0:0;299;0;14,0535591668574;67,9499504081788;139,369802395666;143,347829404135;134,821087968261;137,003128099489;133,109025711452;131,984435797665;138,496986343175;139,218738078889;137,640955214771;132,236209658961;132,773327229725;134,149691004807;130,977340352483;128,677805752651;128,845654993515;124,649423971923;
9:0:1;451;0;14,0535591668574;67,9499504081788;139,369802395666;143,347829404135;134,821087968261;137,003128099489;133,109025711452;131,984435797665;138,496986343175;139,218738078889;137,640955214771;132,236209658961;132,773327229725;134,149691004807;130,977340352483;128,677805752651;128,845654993515;124,649423971923;
9:0:2;300;0;14,0199893186847;67,9499504081788;138,966964217594;142,944991226062;134,435034714275;136,650644693675;132,739757381552;131,648737315938;138,178072785534;138,899824521248;137,842374303807;132,336919203479;132,924391546502;134,233615625238;131,145189593347;128,845654993515;128,996719310292;124,834058136873;
9:0:3;299;0;14,0535591668574;67,9835202563516;138,547341115435;142,575722896162;134,233615625238;136,264591439689;132,320134279393;131,380178530556;137,87594415198;138,530556191348;137,976653696498;132,454413672084;133,02510109102;134,283970397498;131,313038834211;128,91279468986;129,063859006638;125,001907377737;
9:0:4;301;0;14,036774242771;67,9667353322652;138,178072785534;142,223239490349;133,847562371252;135,878538185702;131,950865949493;130,960555428397;137,540245670253;138,194857709621;138,161287861448;132,538338292515;133,142595559625;134,367895017929;131,480888075074;129,030289158465;129,265278095674;125,186541542687;
9:0:5;299;0;14,0703440909438;67,9499504081788;137,775234607462;141,971465629053;133,478294041352;135,458915083543;131,715877012283;130,591287098497;137,238117036698;137,959868772412;138,345922026398;132,65583276112;133,192950331884;134,468604562448;131,648737315938;129,231708247501;129,449912260624;125,354390783551;
9:0:6;301;0;14,0535591668574;68,0003051804379;137,32204165713;141,535057602808;133,058670939193;135,156786449989;131,262684061952;130,154879072251;136,969558251316;137,540245670253;138,496986343175;132,706187533379;133,243305104143;134,485389486534;131,73266193637;129,315632867933;129,584191653315;125,371175707637;
9:0:7;299;0;14,0703440909438;67,9835202563516;137,103837644007;141,216144045167;132,773327229725;134,821087968261;130,960555428397;129,88632028687;136,684214541848;137,288471808957;138,748760204471;132,84046692607;133,461509117266;134,619668879225;131,934081025406;129,550621805142;129,752040894179;125,622949568933;
9:0:8;301;0;14,0871290150301;68,0170901045243;136,700999465934;140,863660639353;132,420843823911;134,468604562448;130,574502174411;129,500267032883;136,382085908293;136,935988403143;138,916609445335;132,974746318761;133,562218661784;134,720378423743;132,135500114443;129,70168612192;129,919890135042;125,77401388571;
9:0:9;299;0;14,0871290150301;68,0003051804379;136,281376363775;140,410467689021;132,001220721752;134,032196536202;130,138094148165;129,063859006638;136,012817578393;136,549935149157;139,067673762112;133,008316166934;133,612573434043;134,737163347829;132,236209658961;129,768825818265;130,003814755474;125,891508354314;
9:0:10;301;0;14,1039139391165;67,9835202563516;135,928892957961;140,125123979553;131,715877012283;133,713282978561;129,819180590524;128,761730373083;135,79461356527;136,247806515602;139,336232547494;133,192950331884;133,76363775082;134,888227664607;132,454413672084;129,970244907301;130,25558861677;126,092927443351;
9:0:11;299;0;14,0871290150301;68,0003051804379;135,542839703975;139,772640573739;131,346608682383;133,327229724575;129,449912260624;128,375677119097;135,458915083543;135,945677882048;139,53765163653;133,293659876402;133,897917143511;134,972152285039;132,622262912947;130,154879072251;130,423437857633;126,260776684215;
9:0:12;301;0;14,1039139391165;67,9835202563516;135,089646753643;139,35301747158;130,926985580224;132,907606622416;129,030289158465;127,939269092851;135,089646753643;135,542839703975;139,638361181048;133,344014648661;133,94827191577;135,022507057298;132,756542305638;130,238803692683;130,557717250324;126,361486228733;
9:0:13;301;0;14,0871290150301;68,0003051804379;134,753948271916;139,067673762112;130,641641870756;132,605477988861;128,711375600824;127,62035553521;134,821087968261;135,274280918593;139,890135042344;133,545433737697;134,13290608072;135,173571374075;133,008316166934;130,473792629892;130,759136339361;126,579690241856;
